Epoch	EpLen	AvgRet	StdRet	MaxRet	MinRet	AvgVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	2000.0	0.05428413	0.22836868	0.9052157	-0.75471747	-0.07987848	0.011930011	-0.05054114	-0.10321764	2000	3.7997963e-10	0.04929142	-0.0073911985	-0.010053147	0.6890996	0.011387668	0.173583	146.0	11.035177230834961
1	2000.0	0.18390754	0.2579541	1.32046	-0.4981212	-0.01573026	0.07302331	0.24974898	-0.23844913	4000	1.7881394e-10	0.059847698	-0.0046372055	-0.011285789	0.6794339	0.0096574295	0.1182041	336.0	20.107926607131958
2	2000.0	0.4367187	0.3373549	1.7638394	-0.33719948	0.09089119	0.07317426	0.44675654	-0.096594065	6000	1.0728837e-09	0.12587728	-0.0045388415	-0.03711441	0.652429	0.009028827	0.092999026	58.0	27.35688066482544
3	2000.0	0.74857026	0.42300346	2.5382028	-0.2256456	0.28294393	0.07266031	0.671578	0.117135	8000	1.564622e-09	0.21491061	-0.005019176	-0.07040948	0.6285476	0.0066038575	0.07657031	624.0	38.3879177570343
4	2000.0	1.0835326	0.4842206	2.8470008	-0.13278614	0.5550049	0.06921231	0.8797148	0.41784254	10000	-2.9802324e-11	0.28044027	-0.00480943	-0.08799772	0.5851746	0.0048051355	0.029395508	624.0	49.51675271987915
5	2000.0	1.4672815	0.5317093	3.0679893	0.017764049	0.8592661	0.062196624	1.1326983	0.73790306	12000	7.003546e-10	0.36123887	-0.0039765877	-0.119856894	0.5411997	0.0041205687	0.026179688	624.0	60.518430948257446
6	2000.0	1.8576913	0.6033769	3.7089562	0.25154382	1.2101219	0.07404577	1.5612452	1.085836	14000	-4.1723253e-10	0.42449638	-0.0033759873	-0.12928092	0.4955912	0.0038451084	0.02225586	624.0	71.55466198921204
7	2000.0	2.1621492	0.614441	3.9071465	0.7496083	1.5914277	0.07204453	1.9539984	1.471825	16000	-1.013279e-09	0.41151154	-0.0031500356	-0.107364774	0.45685616	0.0026479766	0.00990918	624.0	82.50949168205261
8	2000.0	2.4708788	0.65808827	4.5886836	0.6940622	1.9263899	0.0679491	2.2326574	1.8144532	18000	1.4305115e-09	0.45270178	-0.0026121875	-0.10709944	0.4150178	0.0024779646	0.022508789	624.0	93.40978002548218
9	2000.0	2.6832833	0.63575315	4.8404717	0.69719976	2.258599	0.06628719	2.5570116	2.1614406	20000	4.768372e-10	0.39284676	-0.0022879448	-0.057738513	0.3760642	0.0021078773	0.0347334	624.0	104.41817808151245
10	2000.0	2.9371486	0.636997	5.278817	0.9295666	2.506799	0.0634426	2.806786	2.4050486	22000	-8.940697e-10	0.39711836	-0.0018040566	-0.062211603	0.33633682	0.0025037553	0.047572266	624.0	115.3495135307312
11	2000.0	3.1668916	0.7319944	5.405783	0.9384806	2.7394226	0.06676074	3.0049095	2.6308205	24000	3.2782557e-10	0.45986268	-0.0012081389	-0.0600183	0.29764038	0.0012879631	0.023585938	624.0	126.32559323310852
12	2000.0	3.338964	0.66613686	5.4286356	1.4803953	2.9898891	0.0753301	3.3092515	2.8666837	26000	6.5565114e-10	0.39858773	-0.00089656585	-0.03606063	0.27741614	0.0021218408	0.04042969	624.0	137.25974345207214
13	2000.0	3.4395986	0.7387227	5.5748196	1.2479639	3.1730635	0.059982054	3.4335713	3.0737643	28000	8.940697e-10	0.42004243	-0.0008519597	-0.022669494	0.24762702	0.0009242909	0.0142148435	624.0	148.21708416938782
14	2000.0	3.5221105	0.72025514	5.5416865	1.4910687	3.3305054	0.07630938	3.664189	3.2175617	30000	-7.748604e-10	0.4175377	-0.0007862357	-0.013693154	0.22522707	0.0011097194	0.013016602	624.0	159.234313249588
15	2000.0	3.628221	0.7500263	5.7110796	1.6323974	3.4446354	0.07311347	3.7281227	3.351026	32000	5.960465e-10	0.4247114	-0.00061147084	-0.010585934	0.2026861	0.000934197	0.011526368	624.0	170.18219900131226
16	2000.0	3.7202487	0.74097973	5.8209157	1.4759847	3.5480468	0.060247052	3.8278546	3.4540262	34000	-7.1525574e-10	0.41771343	-0.0004612635	-0.008146137	0.18280585	0.0003131439	0.003935547	624.0	181.17452788352966
17	2000.0	3.7714012	0.8046256	6.980964	1.5752679	3.6137068	0.05100914	3.8653386	3.557692	36000	1.7881394e-10	0.44159386	-0.00036719468	-0.0053126216	0.17591386	0.0005829886	0.002946289	624.0	192.22135853767395
18	2000.0	3.7921367	0.70587265	5.6930447	1.7483027	3.7001379	0.070817366	4.036137	3.6163116	38000	-2.384186e-10	0.40164268	-0.0003969378	-0.0020274818	0.1640636	0.00032155387	0.0012041016	624.0	203.21847081184387
19	2000.0	3.8336496	0.7449286	6.8137116	1.7547741	3.7716103	0.054021772	3.987708	3.6993623	40000	3.2782557e-10	0.41577607	-0.00029129066	-0.0008173287	0.1547781	0.0005130325	0.0074677733	624.0	214.39338612556458
20	2000.0	3.9371667	0.7190589	5.9287095	2.1297078	3.7910836	0.05968488	4.036649	3.7055888	42000	-5.960465e-11	0.41354817	-0.00027471798	-0.008466542	0.13943742	0.0002458807	0.0012939454	624.0	225.48463892936707
21	2000.0	3.9440598	0.68892646	6.3355174	1.886908	3.887606	0.059538595	4.1446733	3.80332	44000	-2.6822092e-10	0.39117497	-0.0002096142	-0.0008171797	0.13365163	0.00035609753	0.0009648437	624.0	236.55446457862854
22	2000.0	3.9573646	0.73849475	6.1057677	2.0824618	3.915802	0.07341045	4.2501945	3.8250163	46000	6.8545347e-10	0.40180045	3.7432106e-05	-0.00084623694	0.12656668	0.00061937055	0.008697266	624.0	247.67172980308533
23	2000.0	3.9831405	0.77212113	6.187333	1.6113833	3.9427729	0.07293554	4.2510347	3.8292372	48000	-2.9802324e-10	0.44412687	-0.00013760649	-0.0014926791	0.1211101	0.00025412656	0.0022978515	624.0	258.7027122974396
24	2000.0	3.991069	0.7561944	6.205439	1.4988163	3.9675384	0.0671153	4.26936	3.8770933	50000	-1.2516976e-09	0.41894847	-6.472612e-05	0.0001167357	0.113217585	0.0006903032	0.0054013673	624.0	269.71919083595276
25	2000.0	3.9898744	0.7599444	6.2007036	1.9413248	3.9747384	0.06979888	4.2892594	3.8841279	52000	4.991889e-10	0.43290198	-6.785385e-05	0.00017341971	0.10851837	0.00020734071	0.0019052734	624.0	280.6893222332001
26	2000.0	3.9870536	0.7540253	6.3813524	1.825409	3.995074	0.06646525	4.315262	3.9157133	54000	1.5199185e-09	0.42550394	2.9427916e-05	-0.0002257824	0.104527354	0.0005199227	0.006310547	624.0	291.64645886421204
27	2000.0	4.04007	0.7406671	6.307281	2.036194	3.9799223	0.06083164	4.2334514	3.9011338	56000	-6.8545347e-10	0.42245093	-9.95687e-05	-0.0016805232	0.09971211	0.00020344571	0.0009052734	624.0	302.6501958370209
28	2000.0	4.0216064	0.77184546	6.2511363	1.8171102	4.0405807	0.06585172	4.3266354	3.9467154	58000	-3.5762787e-10	0.44079757	-7.556266e-05	-1.0788441e-05	0.096231095	0.00022915154	0.00171875	624.0	313.6151955127716
29	2000.0	4.0477533	0.7585164	6.481866	1.811658	4.0249834	0.059312303	4.3177056	3.9636703	60000	-2.0861626e-10	0.41140842	-2.6797698e-05	0.0005026758	0.09352286	0.00026670168	0.0016132812	624.0	324.56292939186096
30	2000.0	4.028303	0.74441874	6.6238337	2.1968665	4.0061874	0.05811664	4.28821	3.9346948	62000	-2.9802324e-11	0.40595654	-2.97846e-05	-0.00010791421	0.09225269	0.00065141515	0.007940429	624.0	335.61027336120605
31	2000.0	4.0639353	0.78638005	6.8536654	1.9278111	4.038631	0.06772453	4.366166	3.9520533	64000	2.9802324e-10	0.45428702	1.8262446e-05	-0.0002542138	0.08520358	0.00026616085	0.001975586	624.0	346.62284088134766
32	2000.0	4.027714	0.7312944	6.8404646	1.8383507	4.0527115	0.06446503	4.3650727	3.974635	66000	-4.4703485e-10	0.39484882	-2.0088642e-05	-0.00029706955	0.08640591	0.00068607833	0.010712891	624.0	357.6486439704895
33	2000.0	4.0614786	0.76693	6.6140494	1.6652356	4.0411863	0.0541858	4.2904687	3.9716423	68000	-2.384186e-10	0.42366844	-0.00010800576	-0.00019845366	0.083017595	0.00010352232	0.0008066406	624.0	368.6626920700073
34	2000.0	4.062304	0.76155394	6.0303993	1.7789568	4.0404143	0.06263762	4.312714	3.9542649	70000	-1.1175871e-10	0.41986987	8.663431e-06	0.000109136105	0.07871726	0.0005036133	0.0039746095	624.0	379.66673946380615
35	2000.0	4.0415974	0.7426931	6.3037133	1.9869382	4.047418	0.05481121	4.2706394	3.9767213	72000	-2.2351743e-10	0.427967	-1.8139632e-06	-0.00049865246	0.076739416	0.00036527158	0.0040048826	624.0	390.6385941505432
36	2000.0	4.088848	0.76381767	6.0352926	1.4775586	4.0656843	0.063996896	4.3775783	3.992411	74000	7.078052e-10	0.4324713	-1.770763e-05	8.127093e-05	0.07267689	0.0005995692	0.0057734377	624.0	401.64487290382385
37	2000.0	4.117265	0.7350988	6.311391	2.0586889	4.0586553	0.060127433	4.373742	3.989235	76000	-2.9802324e-11	0.4136454	0.00017024152	-0.0009188354	0.07082733	0.0008874293	0.015382812	624.0	412.65938901901245
