Epoch	EpLen	AvgRet	StdRet	MaxRet	MinRet	AvgVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	2000.0	0.057765376	0.2315009	1.0023712	-0.5967649	-0.12970029	0.03098686	0.06296536	-0.19652873	2000	-2.0116568e-10	0.06455268	-0.006544973	-0.021554489	0.6907666	0.009801688	0.11504687	155.0	9.497187376022339
1	2000.0	0.21061334	0.26716748	1.2849653	-0.5858706	-0.03288061	0.07398824	0.26577267	-0.26605403	4000	-9.015203e-10	0.074320525	-0.004575431	-0.017733078	0.683001	0.009277829	0.1007168	133.0	15.88600468635559
2	2000.0	0.44905034	0.34856385	1.5923717	-0.27880093	0.091228515	0.07576965	0.499933	-0.09433793	6000	-4.1723253e-10	0.13318828	-0.004785915	-0.03955072	0.65974	0.00784832	0.07675586	624.0	25.058853149414062
3	2000.0	0.7685015	0.43616325	2.3102388	-0.34138137	0.28137106	0.07459124	0.6604539	0.124949485	8000	4.768372e-10	0.22941148	-0.0048191785	-0.07580401	0.6249829	0.0068943226	0.07169434	624.0	34.21633505821228
4	2000.0	1.0770864	0.49786735	3.0157628	-0.15980057	0.56181824	0.074402615	1.0232583	0.43141192	10000	-4.3958429e-10	0.27740178	-0.00451958	-0.08506408	0.58652085	0.0049109356	0.062505856	624.0	43.37008500099182
5	2000.0	1.468555	0.5110857	3.316028	0.1743666	0.8561736	0.074744046	1.2505622	0.7165084	12000	3.5762787e-10	0.35578695	-0.004015769	-0.12008937	0.54298484	0.0042125992	0.05520215	624.0	52.5622923374176
6	2000.0	1.8673571	0.6008684	3.947564	0.25246492	1.2102741	0.07628863	1.6367972	1.0677407	14000	8.940697e-11	0.43082592	-0.0032835163	-0.13929674	0.49912462	0.004304894	0.047264647	624.0	61.84834384918213
7	2000.0	2.2097282	0.617466	4.0354633	0.60414726	1.5836028	0.07201878	2.0218334	1.4751397	16000	1.192093e-10	0.43105483	-0.003161475	-0.12833565	0.45717847	0.0029238232	0.040663086	624.0	71.10155963897705
8	2000.0	2.4699638	0.6668777	4.72821	0.52411336	1.951849	0.066126816	2.3182359	1.8328007	18000	-5.811453e-10	0.4229217	-0.002561227	-0.091546535	0.41403148	0.0024734123	0.025217773	624.0	80.2600793838501
9	2000.0	2.7031546	0.637104	4.465351	0.43305838	2.2608528	0.066170044	2.644126	2.1473002	20000	1.7881394e-10	0.3956032	-0.0019761743	-0.06287545	0.3760844	0.0019771946	0.03329004	624.0	89.44151091575623
10	2000.0	2.8975654	0.6496393	4.7456994	1.227447	2.5081377	0.06649962	2.8597748	2.4244664	22000	5.3644184e-10	0.37761012	-0.0016859056	-0.048903167	0.3409219	0.0014695836	0.009904297	624.0	98.61623287200928
11	2000.0	3.063911	0.70781964	5.586927	0.78183836	2.73717	0.063408166	3.07667	2.6392114	24000	-1.2628735e-09	0.41387683	-0.0013357627	-0.037927955	0.31607267	0.0014320049	0.023313476	624.0	107.79416298866272
12	2000.0	3.2817826	0.6523143	5.236282	1.5750331	2.9163105	0.06964841	3.2757542	2.8008661	26000	8.940697e-10	0.38985282	-0.0012713993	-0.040334076	0.29285055	0.0014633484	0.021989258	624.0	117.01784205436707
13	2000.0	3.3727632	0.7081369	5.350503	1.2900224	3.114137	0.070241384	3.4569807	2.997745	28000	-2.1085145e-09	0.3975571	-0.00091035134	-0.023582548	0.26510602	0.0010149215	0.011613281	624.0	126.1988480091095
14	2000.0	3.4371767	0.7116581	5.546958	1.3787721	3.2634597	0.06582859	3.5823236	3.1655223	30000	1.9241124e-09	0.410614	-0.00076677575	-0.010600746	0.24265678	0.000757379	0.0126875	624.0	135.45915865898132
15	2000.0	3.5775275	0.7269263	5.615127	1.4676874	3.3740237	0.07546911	3.8060577	3.2699287	32000	-5.960465e-11	0.40659654	-0.00080474565	-0.0146538615	0.22321983	0.0008267979	0.005331055	624.0	144.65770888328552
16	2000.0	3.6956153	0.7188697	5.5201855	1.4863334	3.4803011	0.063020006	3.7890935	3.3939674	34000	5.960465e-11	0.4085205	-0.00057598075	-0.013496369	0.20492785	0.0010630895	0.010470703	624.0	153.90559601783752
17	2000.0	3.7454958	0.7509657	6.0546317	1.7638798	3.5986922	0.0665576	3.969344	3.5082862	36000	-5.4016713e-10	0.41084415	-0.0005451252	-0.0050735176	0.18892056	0.000844493	0.010258789	624.0	163.15018486976624
18	2000.0	3.778098	0.6970986	5.818405	1.8242564	3.6728158	0.067229606	3.981497	3.5676193	38000	-4.768372e-10	0.38702387	-0.00036742375	-0.0041015744	0.17835063	0.0009993695	0.013290039	624.0	172.36421036720276
19	2000.0	3.8145242	0.73333716	6.3295345	1.7205465	3.7441025	0.06513186	4.035831	3.6490712	40000	-4.991889e-10	0.4066094	-0.0004182131	-0.0013632178	0.16498008	0.00059118104	0.0020253905	624.0	181.57346057891846
20	2000.0	3.9112778	0.7125186	6.025733	1.9635628	3.768796	0.06973522	4.090603	3.6686184	42000	5.960465e-11	0.4075934	-0.00030508332	-0.008014351	0.15517542	0.00042952265	0.0028847656	624.0	190.7872908115387
21	2000.0	3.8956547	0.6932701	6.015288	1.8874916	3.850992	0.06370647	4.168486	3.767224	44000	9.983778e-10	0.38120082	-0.00025356148	-0.00033020973	0.14846505	0.00080707157	0.008799804	624.0	200.0583531856537
22	2000.0	3.934267	0.7172404	6.345833	2.1741385	3.8875258	0.060484737	4.1381426	3.7772703	46000	8.270145e-10	0.3883407	-0.00036417038	-0.0010250211	0.13863079	0.000509989	0.0028671876	624.0	209.26838207244873
23	2000.0	3.956486	0.7640731	6.0803394	1.7655385	3.9253116	0.06871369	4.2372775	3.8151467	48000	-4.768372e-10	0.43100387	-0.00016896964	-0.0012744665	0.13312204	0.00041382213	0.00421875	624.0	218.43003129959106
24	2000.0	3.9858658	0.7360584	6.4672613	1.3159279	3.9609728	0.058669563	4.2668314	3.8726346	50000	-8.3446505e-10	0.40930176	-0.00018928398	-9.611249e-05	0.12491134	0.00025107648	0.0016035156	624.0	227.61285877227783
25	2000.0	3.9976048	0.73534465	6.249374	2.0738692	3.9376307	0.0648453	4.2542253	3.8390512	52000	-2.384186e-10	0.41960207	-0.00014648141	-0.00091072917	0.11945061	0.00025227614	0.0021796876	624.0	236.8024926185608
26	2000.0	3.989145	0.75307924	6.671311	1.8368263	3.9678361	0.072896436	4.3289013	3.8674765	54000	-2.0861626e-10	0.41664988	-0.00011951903	-0.00048655272	0.11361065	0.00068902003	0.0066767577	624.0	245.97759461402893
27	2000.0	4.045069	0.7208312	6.2087	2.1659665	3.978232	0.07456239	4.3225703	3.8488677	56000	1.937151e-10	0.4089487	-0.000106328356	-0.0021293163	0.109470025	0.00049859256	0.005786133	624.0	255.15377950668335
28	2000.0	4.0407095	0.7629828	6.1555753	1.7657286	4.015132	0.06695687	4.3396764	3.9085977	58000	-4.5448545e-10	0.43440217	-0.00011272739	-0.00037005544	0.10321018	0.0007607279	0.006423828	624.0	264.35375452041626
29	2000.0	4.0811505	0.75579107	6.2283936	2.031032	4.0369744	0.072673075	4.3733397	3.9316812	60000	8.940697e-11	0.40963683	3.6961737e-06	-0.00027659535	0.10078014	0.00040964244	0.004227539	624.0	273.53382682800293
30	2000.0	4.0667753	0.73858434	6.3910346	2.2628145	4.0846214	0.06848682	4.439524	3.9934952	62000	5.6624416e-10	0.40488753	0.00025824134	-0.0007304549	0.09680797	0.0013378968	0.02239453	624.0	282.72621273994446
31	2000.0	4.1015444	0.756467	6.466696	2.1753714	4.096723	0.07141542	4.4271836	3.9942732	64000	1.0728837e-09	0.42798108	-0.00012704982	0.0004387796	0.09330267	0.00024294127	0.0017158203	624.0	291.93544816970825
32	2000.0	4.059612	0.73228455	6.478066	1.8447038	4.1247883	0.0694897	4.4432144	4.025122	66000	1.4901162e-10	0.40016976	9.219528e-06	-0.0021357536	0.088104025	0.00039568558	0.0041904296	624.0	301.1378700733185
33	2000.0	4.086832	0.7575145	6.8645186	1.9232005	4.0822783	0.06203419	4.3758516	3.991338	68000	4.768372e-10	0.41678828	6.6250206e-05	-0.00039073825	0.085265405	0.0005582816	0.006873047	624.0	310.36248683929443
34	2000.0	4.1057453	0.7574114	5.93549	2.3073487	4.0655503	0.059895337	4.35023	3.9719124	70000	1.2665988e-10	0.41814575	-7.1664224e-05	-0.00044253469	0.08241593	0.00037089502	0.0026484374	624.0	319.61331009864807
35	2000.0	4.08719	0.7451771	6.3049736	1.7910502	4.0712366	0.0658794	4.381515	3.9872134	72000	-4.321337e-10	0.43868417	-9.9893536e-05	-0.0007404089	0.08131516	0.0002833395	0.0021210937	624.0	328.87636065483093
36	2000.0	4.0943074	0.7645085	6.2665877	1.8035561	4.117546	0.072092615	4.436432	4.0209727	74000	-1.2665988e-10	0.43194535	-4.7685848e-05	-0.00015175343	0.0792602	0.0003476373	0.0030820312	624.0	338.13152289390564
37	2000.0	4.1301723	0.7400539	6.1252484	1.8929797	4.125501	0.060810562	4.4372544	4.029933	76000	5.960465e-11	0.41580126	0.00024569847	-0.0005146563	0.07742658	0.0009725294	0.014953125	624.0	347.38588643074036
38	2000.0	4.1182528	0.7738451	6.2601457	2.127077	4.130095	0.06076005	4.455704	4.026955	78000	-2.0861626e-09	0.4200615	-3.5965328e-05	-0.00068953633	0.07520467	0.0004119976	0.0026201173	624.0	356.65374541282654
39	2000.0	4.0790443	0.7818211	6.437187	2.0243402	4.1178613	0.0676406	4.40517	4.020317	80000	-9.834766e-10	0.43533513	0.00010311391	-9.208918e-06	0.074504636	0.00043310577	0.0052041016	624.0	365.9371201992035
40	2000.0	4.05188	0.73051757	6.477256	1.8930683	4.1288333	0.07012366	4.4810777	4.017856	82000	7.748604e-10	0.4066059	-4.273546e-05	-0.0018220544	0.07298521	0.00011920008	0.00046777344	624.0	375.2299325466156
41	2000.0	4.093915	0.75801754	6.767467	1.8680042	4.0945544	0.05489459	4.3558097	4.0100026	84000	-2.026558e-09	0.43349248	6.403804e-06	0.00035595894	0.070713095	0.0002470014	0.0018085937	624.0	384.5161943435669
42	2000.0	4.032021	0.71429574	6.62202	1.6827269	4.1226683	0.06010622	4.4146047	4.033362	86000	2.384186e-10	0.39241558	-5.508392e-05	-0.0019882917	0.069535844	0.00010036891	0.00023730469	624.0	393.8015282154083
43	2000.0	4.100192	0.7583949	6.2818904	2.1919615	4.089552	0.054282743	4.3718696	4.003407	88000	-8.3446505e-10	0.41246894	-6.150669e-05	-0.00016877055	0.06732315	0.00013564141	0.0004189453	624.0	403.0552866458893
44	2000.0	4.0463514	0.7476309	6.45739	2.2596457	4.1122675	0.06606279	4.4198785	4.007891	90000	-9.834766e-10	0.40249532	-1.5446813e-05	-0.002043426	0.066315435	0.00032227507	0.0030927735	624.0	412.3038170337677
45	2000.0	4.087928	0.7538731	6.4115987	2.1451943	4.0751195	0.06188513	4.4151106	3.9886847	92000	-5.3644184e-10	0.43814492	0.00014091826	-0.0009148419	0.06515091	0.00071557524	0.011017578	624.0	421.52041578292847
